id;album;track;lyrics
11;Please Please Me;Do You Want to Know a Secret;You'll never know how much I really love you You'll never know how much I really care Listen, do you want to know a secret Do you promise not to tell Whoa oh, oh Closer, let me whisper in your ear Say the words you long to hear I'm in love with you. Ooh-ooh-ooh Listen, do you want to know a secret Do you promise not to tell Whoa oh, oh Closer, let me whisper in your ear Say the words you long to hear I'm in love with you. Ooh-ooh-ooh I've known the secret for a week or two Nobody knows, just we two Listen, do you want to know a secret Do you promise not to tell Whoa oh, oh Closer, let me whisper in your ear Say the words you long to hear I'm in love with you. Ooh-ooh-ooh
12;Please Please Me;A Taste of Honey;A taste of honey... tasting much sweeter than wine I dream of your first kiss and then I feel upon my lips again A taste of honey... tasting much sweeter than wine Oh I will return, yes I will return I'll come back for the honey and you Yours was a kiss that awoke my heart There lingers still, 'though we're far apart That taste of honey... tasting much sweeter than wine Oh I will return, yes I will return I'll come back (he'll come back) for the honey (for the honey) and you
13;Please Please Me;There's a Place;There, there's a place where I can go When I feel low, when I feel blue And it's my mind and there's no time When I'm alone I, I think of you and things you do Go 'round my head, the things you said Like 'I love only you' In my mind there's no sorrow Don't you know that it's so There'll be no sad tomorrow Don't you know that it's so There, there's a place where I can go When I feel low, when I feel blue And it's my mind and there's no time When I'm alone There's a place...
14;Please Please Me;Twist and Shout;Well, shake it up, baby, now (shake it up, baby) Twist and shout (twist and shout) C'mon c'mon, c'mon, c'mon, baby, now (come on baby) Come on and work it on out (work it on out) Well, work it on out, honey (work it on out) You know you look so good (look so good) You know you got me goin', now (got me goin') Just like I knew you would (like I knew you would) Well, shake it up, baby, now (shake it up, baby) Twist and shout (twist and shout) C'mon, c'mon, c'mon, c'mon, baby, now (come on baby) Come on and work it on out (work it on out) You know you twist your little girl (twist, little girl) You know you twist so fine (twist so fine) Come on and twist a little closer, now (twist a little closer) And let me know that you're mine (let me know you're mine) Well, shake it up, baby, now (shake it up, baby) Twist and shout (twist and shout) C'mon, c'mon, c'mon, c'mon, baby, now (come on baby) Come on and work it on out (work it on out) You know you twist your little girl (twist, little girl) You know you twist so fine (twist so fine) Come on and twist a little closer, now (twist a little closer) And let me know that you're mine (let me know you're mine) Well, shake it, shake it, shake it, baby, now (shake it up baby) Well, shake it, shake it, shake it, baby, now (shake it up baby) Well, shake it, shake it, shake it, baby, now (shake it up baby)
15;With The Beatles;It Won't Be Long;Every night when everybody has fun, here am I sitting all on my own, It won't be long yeah, yeah, it won't be long yeah, yeah, it won't be long yeah, yeah, till I belong to you. Since you left me I'm so alone, now you're coming, you're coming home, I'll be good like I know I should, you're coming home, you're coming home. Every night the tears come down from my eyes, every day I've done nothing but cry. It won't be long yeah, yeah. Since you left me I'm so alone, now you're coming, you're coming home, I'll be good like I know I should, you're coming home, you're coming home. Every day we'll be happy, I know, now I know that you won't leave me no more. It won't be long yeah, yeah.
16;With The Beatles;All I've Got to Do;Whenever I want you around, yeah All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. And when I, I want to kiss you, yeah. All I gotta do, Is whisper in your ear The words you long to hear, And I'll be kissin' you. And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me. And when I, I want to kiss you, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me.
17;With The Beatles;All My Loving;"Close your eyes and I'll kiss you, Tomorrow I'll miss you; Remember I'll always be true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. I'll pretend That I'm kissing the lips I am missing And hope that my draems will come true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. All my loving I will send to you. All my loving, darling I'll be true."
18;With The Beatles;Don't Bother Me;Since she's been gone I want no one to talk to me It's not the same but I'm to blame, it's plain to see So go away, leave me alone, don't bother me I can't believe that she would leave me on my own It's just not right when every night I'm all alone I've got no time for you right now, don't bother me I know I'll never be the same if I don't get her back again Because I know she'll always be the only girl for me But 'till she's here please don't come near, just stay away I'll let you know when she's come home. Until that day Don't come around, leave me alone, don't bother me I've got no time for you right now, don't bother me But 'till she's here please don't come near, just stay away I'll let you know when she's come home. Until that day Don't come around, leave me alone, don't bother me Don't bother me, don't bother me Don't bother me, don't bother me
19;With The Beatles;Little Child;Little child, little child, little child, won't you dance with me I'm so sad and lonely, baby take a chance with me If you want someone to make you feel so fine Then we'll have some fun when you're mine, all mine So come, come on, come on Little child, little child, little child, won't you dance with me I'm so sad and lonely, baby take a chance with me When you're by my side, you're the only one Don't run and hide, just come on, come on So come on, come on, come on
20;With The Beatles;Till There Was You;There were bells on a hill But I never heard them ringing No I never heard them at all Till there was you There were birds in the sky But I never saw them winging No I never saw them at all Till there was you Then there was music and wonderful roses They tell me in sweet fragrant meadows of dawn and you There was love all around But I never heard it singing No I never heard it at all Till there was you Then there was music and wonderful roses They tell me in sweet fragrant meadows of dawn and you There was love all around But I never heard it singing No I never heard it at all Till there was you Till there was you
21;With The Beatles;Please Mr. Postman;Wait, oh yes wait a minute mister postman Wait, wait mister postman Mister postman look and see You got a letter in your bag for me I been waiting such a long time Since I heard from that girl of mine There must be some word today From my girlfriend so far away Please mister postman look and see If there's a letter, a letter for me I been standing here waiting mister postman So patiently For just a card or just a letter Saying she's returning home to me So many days you passed me by See the tear standing in my eye You didn't stop to make me feel better By leaving me a card or a letter You gotta wait a minute, wait a minute You gotta wait a minute, wait a minute You gotta wait a minute, wait a minute You gotta check it and see, one more time for me Wait, wait, wait Deliver the letter, the sooner the better
22;With The Beatles;Roll Over Beethoven;Gonna write a little letter, gonna mail it to my local D.J. It's a rockin' rhythm record I want my jockey to play Roll over Beethoven, gotta hear it again today You know my temperature's risin' and the jukebox blows a fuse My heart's beatin' rhythm and my soul keeps on singin' the blues Roll over Beethoven, tell Tschaikowsky the news Well if you feel you like it Go get your lover then reel and rock it Roll it over and move on up just A trifle further and reel and rock it Roll it over, roll over Beethoven, dig these rhythm and blues Early in the mornin' I'm a-givin' you the warnin' Don't you step on my blue suede shoes Hey diddle diddle, I am playin' my fiddle, ain't got nothin' to lose Roll over Beethoven rockin' in two by two You know she wiggles like a glow worm, dance like a spinnin' top She's got a crazy partner, oughta see 'em reel and rock Long as she got a dime the music will never stop Roll over Beethoven Roll over Beethoven Roll over Beethoven Roll over Beethoven Roll over Beethoven, dig to these rhythm and blues
23;With The Beatles;Hold Me Tight;It feels so right now, hold me tight, Tell me I'm the only one, And then I might, Never be the lonely one. So hold me tight, to-night, to-night, It's you, You you you - oo-oo - oo-oo. Hold me tight, Let me go on loving you, To-night to-night, Making love to only you, So hold me tight, to-night, to-night, It's you, You you you - oo-oo - oo-oo. Don't know what it means to hold you tight, Being here alone tonight with you, It feels so right now, feels so right now. Hold me tight, Tell me I'm the only one, And then I might, Never be the only one, So hold me tight, to-night, to-night, It's you, You you you - oo-oo - oo-oo. Don't know what it means to hold you tight, Being here alone tonight with you, It feels so right now, feels so right now. Hold me tight, Let me go on loving you, To-night, to-night, Making love to only you, So hold me tight, to-night, to-night, It's you, You you you - oo-oo - oo-oo.
24;With The Beatles;You Really Got a Hold on Me;I don't like you But I love you See that I'm always thinking of you Oh, oh, oh, you treat me badly I love you madly You've really got a hold on me You've really got a hold on me, baby I don't want you, but I need you Don't want to kiss you but I need you Oh, oh, oh you do me wring now my love is strong now You've really got a hold on me You've really got a hold on me, baby I love you and all I want you to do is just hold me, hold me, hold me, hold me I want to leave you don't want to stay here Don't want to spend another day here Oh, oh, oh, I want to split now I just can quit now You've really got a hold on me You've really got a hold on me, baby I love you and all I want you to do is just hold me, hold me, hold me, hold me You've really got a hold on me You've really got a hold on me
25;With The Beatles;I Wanna Be Your Man;I wanna be your lover baby, I wanna be your man I wanna be your lover baby, I wanna be your man Tell me that you love me baby, like no other can love you like no other baby, like no other can I wanna be your man, I wanna be your man Tell me that you love me baby, tell me you understand tell me that you love me baby, I wanna be your man I wanna be your lover baby, I wanna be your man I wanna be your lover baby, I wanna be your man I wanna be your man, I wanna be your man I wanna be your lover baby, I wanna be your man I wanna be your lover baby, I wanna be your man Tell me that you love me baby, like no other can love you like no other baby, like no other can I wanna be your man, I wanna be your man
