id;album;track;lyrics
26;With The Beatles;Devil in Her Heart;She's got the devil in her heart But her eyes they tantalize She's gonna tear your heart apart Oh her lips they really thrill me I'll take my chances For romance is So important to me She'll never hurt me She won't desert me She's an angel sent to me She's got the devil in her heart No, no, this I can't believe She's gonna tear your heart apart No, no nay will she deceive I can't believe that she'll ever ever go Not when she hugs and says she loves me so She'll never hurt me She won't desert me Listen can't you see She's got the devil in her heart Oh, no, no, no, this I can't believe She's gonna tear your heart apart No no nay will she deceive Don't take chances if your romance is So important to you She'll never hurt me She won't desert me She's an angel sent to me She's got the devil in her heart Oh, no, no, no, no this I can't believe She's gonna tear your heart apart No no nay will she deceive She's got the devil in her heart No she's an angel sent to me She's got the devil in her heart No she's an angel sent to me
27;With The Beatles;Not a Second Time;You know you made me cry, I see no use in wondering why, I cried for you. And now, you've changed your mind, I see no reason to change mine, I cried, it's through, oh. Oh, you're giving me the same old line, I'm wondering why, You hurt me then, you're back again, No, no, not a second time.
28;With The Beatles;Money (That's What I Want);The best things in life are free But you can tell me 'bout the birds and bees Now gimme money, that's what I want That's what I want, that's what I want That's what I want, ye-ye-yeah, That's what I want. Money don't get everything it's true What it don't get I can't use So gimme money, that's what I want A little money, that's what I want That's what I want, ye-ye-yeah, That's what I want. Yeah gimme money, that's what I want A little money, that's what I want That's what I want, that's what I want So gimme money, that's what I want That's what I want, ye-ye-yeah, That's what I want. Your lovin' give me a thrill But your lovin' don't pay my bill. Now gimme money, that's what I want That's what I want, that's what I want That's what I want, ye-ye-yeah, That's what I want. Money don't get everything it's true. What it don't get I can't use. So gimme money, that's what I want A little money, that's what I want That's what I want, ye-ye-yeah, That's what I want. Yeah gimme money, that's what I want A little money, that's what I want That's what I want, that's what I want So gimme money, that's what I want That's what I want, ye-ye-yeah, That's what I want.
29;A Hard Day's Night;A Hard Day's Night;It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything So why on earth should I moan 'Cause when I get you alone You know I feel okay When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright So why on earth should I moan 'Cause when I get you alone You know I feel okay When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night And I've been working like a dog It's been a hard day's night I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright
30;A Hard Day's Night;I Should Have Known Better;I should have known better with a girl like you That I would love everything that you do And I do, hey hey hey, and I do Whoa-oh I never realised what a kiss could be This could only happen to me Can't you see, can't you see That when I tell you that I love you oh You're gonna say you love me too oh And when I ask you to be mine You're gonna say you love me too So I should have realised a lot of things before If this is love you gotta give me more Give me more, hey hey hey, give me more Whoa-oh I never realised what a kiss could be This could only happen to me Can't you see, can't you see That when I tell you that I love you oh You're gonna say you love me too oh And when I ask you to be mine You're gonna say you love me too You love me too You love me too You love me too...
31;A Hard Day's Night;If I Fell;If I fell in love with you Would you promise to be true And help me understand 'Cause I've been in love before And I found that love was more Than just holding hands If I give my heart to you I must be sure From the very start That you would love me more than her If I trust in you oh please Don't run and hide If I love you too oh please Don't hurt my pride like her 'Cause I couldn't stand the pain And I would be sad if our new love was in vain So I hope you see that I Would love to love you And that she will cry When she learns we are two If I fell in love with you
32;A Hard Day's Night;I'm Happy Just to Dance with You;Before this dance is through I think I'll love you too I'm so happy when you dance with me I don't want or need to hold your hand Well it's only try and understand 'Cause there's really nothing I would rather do 'Cause I'm happy just to dance with you I don't need to kiss or hold you tight I just want to dance with you all night In this world there's nothing I would rather do 'Cause I'm happy just to dance with you Just to dance with you It's everything I need Before this dance is through I think I'll love you too I'm so happy when you dance with me If somebody tries to take my place Let's pretend we just can't see his face In this world there's nothing I would rather do 'Cause I'm happy just to dance with you Just to dance with you It's everything I need Before this dance is through I discovered I'm in love with you 'Cause I'm happy just to dance with you
33;A Hard Day's Night;And I Love Her;I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her
34;A Hard Day's Night;Tell Me Why;Tell me why you cried, and why you lied to me, Tell me why you cried, and why you lied to me. Well I gave you ev'rything I had, But you left me sitting on my own, Did you have to treat me oh so bad, All I do is hang my head and moan. Tell me why you cried, and why you lied to me, Tell me why you cried, and why you lied to me. If there's something I have said or done, Tell me what and I'll apologise, If you don't really can't go on, Holding back these tears in my eyes. Tell me why you cried, and why you lied to me, Tell me why you cried, and why you lied to me. Well I beg you on my bended knees, If you'll only listen to my pleas, Is there anything I can do, 'Cause I really can't stand it, I'm so in love with you. Tell me why you cried, and why you lied to me.
35;A Hard Day's Night;Can't Buy Me Love;Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend If it makes you feel alright I'll get you anything my friend If it makes you feel alright 'Cause I don't care too much for money For money can't buy me love I'll give you all I've got to give If you say you love me too I may not have a lot to give But what I've got I'll give to you I don't care too much for money For money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no, no, no, no Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no, no, no, no Say you don't need no diamond rings And I'll be satisfied Tell me that you want the kind of things That money just can't buy I don't care too much for money Money can't buy me love Can't buy me love, love Can't buy me love
